30mm_loaded_X,30mm_loaded_Y,30mm_Unloaded_X,30mm_Unloaded_Y,45mm_loaded_X,45mm_loaded_Y,45mm_Unloaded_X,45mm_Unloaded_Y
0,-461.947,0,73.4718,0,-571.374,0,87.4249
0.126509,-444.486,0.126534,17.6318,0.124828,-538.754,0.124863,27.3243
0.253019,-427.024,0.253068,-38.2078,0.249657,-506.135,0.249729,-32.7782
0.379528,-409.458,0.379602,-94.3546,0.374485,-472.905,0.374592,-93.9835
0.506037,-391.764,0.506136,-150.869,0.499313,-438.1,0.499454,-157.891
0.632547,-374.069,0.63267,-207.384,0.624142,-403.295,0.624321,-221.801
0.759056,403.629,0.759205,150.621,0.74897,493.294,0.749184,167.61
0.885565,418.72,0.885738,97.4717,0.873798,514.658,0.874046,112.397
1.01207,433.916,1.01227,43.9796,0.998627,536.309,0.998909,56.4565
1.13858,449.243,1.13881,-9.9268,1.12346,558.584,1.12378,-1.00557
1.26509,464.571,1.26534,-63.8336,1.24828,580.86,1.24864,-58.4658
