Die Radius (mm),Thickness (mm),Final Angle (°),Punch Displacement (mm)
5,1,165.8,20
5,1,158.3,25
5,1,151.3,30
5,1,144.8,35
5,1,134,40
5,1,115.2,45
5,1.27,160.8,20
5,1.27,152.6,25
5,1.27,145.2,30
5,1.27,138.9,35
5,1.27,129.1,40
5,1.27,110.5,45
5,1.5,158,20
5,1.5,149.2,25
5,1.5,141.5,30
5,1.5,134.7,35
5,1.5,125.9,40
10,1,166,20
10,1,158.4,25
10,1,151.3,30
10,1,144.8,35
10,1,134,40
10,1.27,160.9,20
10,1.27,152.5,25
10,1.27,145.4,30
10,1.27,138.7,35
10,1.27,128.9,40
10,1.5,157.8,20
10,1.5,149,25
10,1.5,141.4,30
10,1.5,134.6,35
10,1.5,125.6,40
